物件名,価格,所在地,ファイル名
八女市 立花町山崎 平屋建 ３ＤＫ1万円,1万円,N/A,fukuoka.html
北九州市八幡東区 景勝町（スペースワールド駅） 2階建 ４ＤＫ80万円,80万円,北九州市八幡東区景勝町,fukuoka.html
北九州市門司区 鳴竹１丁目（関門海峡めかり駅） 2階建 ４Ｋ90万円,90万円,北九州市門司区鳴竹１丁目,fukuoka.html
京都郡みやこ町 徳政（新豊津駅） 平屋建 ５ＤＫ90万円,90万円,N/A,fukuoka.html
豊前市 大字馬場（豊前松江駅） 2階建 ７ＤＫ98万円,98万円,N/A,fukuoka.html
北九州市門司区 大字大里 3階建 ５ＤＫ99万円,99万円,北九州市門司区大字大里,fukuoka.html
北九州市八幡西区 上上津役６丁目（永犬丸駅） 平屋建 ４ＤＫ148万円,148万円,北九州市八幡西区上上津役６丁目,fukuoka.html
朝倉市 黒川 平屋建 ５ＤＫ150万円,150万円,N/A,fukuoka.html
大牟田市 黄金町１丁目（大牟田駅） 2階建 ５ＤＫ150万円,150万円,N/A,fukuoka.html
豊前市 大字大西（宇島駅） 平屋建 ４ＤＫ150万円,150万円,N/A,fukuoka.html
大牟田市 新勝立町５丁目（大牟田駅） 2階建 ７ＤＫ180万円,180万円,N/A,fukuoka.html
北九州市八幡西区 元城町（八幡駅） 平屋建 ４ＤＫ180万円,180万円,北九州市八幡西区元城町,fukuoka.html
行橋市 大字道場寺（新田原駅） 平屋建 ３Ｋ180万円,180万円,N/A,fukuoka.html
築上郡築上町 大字高塚（椎田駅） 平屋建 １０Ｋ198万円,198万円,N/A,fukuoka.html
大牟田市 大字勝立（大牟田駅） 平屋建 ６Ｋ200万円,200万円,N/A,fukuoka.html
北九州市八幡東区 末広町（スペースワールド駅） 平屋建 ４ＬＤＫ200万円,200万円,北九州市八幡東区末広町,fukuoka.html
北九州市八幡東区 中尾３丁目 平屋建 ４ＬＤＫ200万円,200万円,北九州市八幡東区中尾３丁目,fukuoka.html
田川郡添田町 大字添田（添田駅） 2階建 ４ＤＫ200万円,200万円,N/A,fukuoka.html
田川郡福智町 赤池（赤池駅） 平屋建 ６Ｋ200万円,200万円,N/A,fukuoka.html
豊前市 大字大河内 2階建 ７ＳＤＫ200万円,200万円,N/A,fukuoka.html
うきは市 浮羽町新川 2階建 ６ＤＫ230万円,230万円,N/A,fukuoka.html
直方市 大字頓野（感田駅） 2階建 ５ＤＫ230万円,230万円,N/A,fukuoka.html
朝倉郡東峰村 大字福井 2階建 ６ＤＫ250万円,250万円,N/A,fukuoka.html
大牟田市 大字今山（東甘木駅） 平屋建 ４ＬＤＫ250万円,250万円,N/A,fukuoka.html
田川郡川崎町 大字川崎 平屋建 ６ＤＫ270万円,270万円,N/A,fukuoka.html
大牟田市 八本町（新栄町駅） 平屋建 ４ＤＫ280万円,280万円,N/A,fukuoka.html
鞍手郡小竹町 大字赤地（勝野駅） 平屋建 ３ＤＫ280万円,280万円,N/A,fukuoka.html
田川郡川崎町 大字安眞木（添田駅） 平屋建 ４ＤＫ280万円,280万円,N/A,fukuoka.html
田川郡川崎町 大字安眞木 平屋建 ４ＤＫ280万円,280万円,N/A,fukuoka.html
京都郡みやこ町 節丸（東犀川三四郎駅） 2階建 ７ＤＫ280万円,280万円,N/A,fukuoka.html
大牟田市 大字唐船（西鉄銀水駅） 平屋建 ７ＤＫ300万円,300万円,N/A,fukuoka.html
北九州市門司区 田野浦２丁目 平屋建 ３ＬＤＫ300万円,300万円,北九州市門司区田野浦２丁目,fukuoka.html
田川市 大字糒（糒駅） 平屋建 ４ＳＬＤＫ300万円,300万円,N/A,fukuoka.html
築上郡築上町 大字有安（豊前松江駅） 平屋建 ５Ｋ300万円,300万円,N/A,fukuoka.html
豊前市 大字小犬丸（三毛門駅） 平屋建 ４ＤＫ300万円,300万円,N/A,fukuoka.html
行橋市 大字矢留（今川河童駅） 平屋建 ５ＤＫ300万円,300万円,N/A,fukuoka.html
大川市 大字大野島 平屋建 ３ＬＤＫ330万円,330万円,N/A,fukuoka.html
朝倉市 上秋月 2階建 ７ＬＤＫ350万円,350万円,N/A,fukuoka.html
嘉麻市 大隈町 2階建 ６ＳＬＤＫ350万円,350万円,N/A,fukuoka.html
北九州市八幡西区 永犬丸東町２丁目（永犬丸駅） 平屋建 ３ＳＤＫ350万円,350万円,北九州市八幡西区永犬丸東町２丁目,fukuoka.html
鞍手郡鞍手町 大字中山 平屋建 ５ＤＫ350万円,350万円,N/A,fukuoka.html
豊前市 大字求菩提（宇島駅） 平屋建 ４ＳＫ350万円,350万円,N/A,fukuoka.html
豊前市 大字八屋（宇島駅） 2階建 ９ＤＫ350万円,350万円,N/A,fukuoka.html
北九州市門司区 大字田野浦（門司港駅） 平屋建 ５ＤＫ380万円,380万円,北九州市門司区大字田野浦,fukuoka.html
北九州市八幡東区 祝町１丁目（スペースワールド駅） 2階建 ４ＤＫ390万円,390万円,北九州市八幡東区祝町１丁目,fukuoka.html
築上郡築上町 大字椎田（椎田駅） 平屋建 ５ＤＫ390万円,390万円,N/A,fukuoka.html
朝倉市 下渕（甘木駅） 2階建 ７ＤＫ400万円,400万円,N/A,fukuoka.html
大牟田市 新勝立町５丁目（大牟田駅） 平屋建 ４ＤＫ400万円,400万円,N/A,fukuoka.html
鞍手郡鞍手町 大字新延（鞍手駅） 2階建 ７ＤＫ400万円,400万円,N/A,fukuoka.html
豊前市 大字中村（豊前松江駅） 平屋建 ４ＤＫ400万円,400万円,N/A,fukuoka.html
八女市 立花町山崎 平屋建 ３ＤＫ1万円,1万円,N/A,fukuoka.txt
北九州市八幡東区 景勝町（スペースワールド駅） 2階建 ４ＤＫ80万円,80万円,北九州市八幡東区景勝町,fukuoka.txt
北九州市門司区 鳴竹１丁目（関門海峡めかり駅） 2階建 ４Ｋ90万円,90万円,北九州市門司区鳴竹１丁目,fukuoka.txt
京都郡みやこ町 徳政（新豊津駅） 平屋建 ５ＤＫ90万円,90万円,N/A,fukuoka.txt
豊前市 大字馬場（豊前松江駅） 2階建 ７ＤＫ98万円,98万円,N/A,fukuoka.txt
北九州市門司区 大字大里 3階建 ５ＤＫ99万円,99万円,北九州市門司区大字大里,fukuoka.txt
北九州市八幡西区 上上津役６丁目（永犬丸駅） 平屋建 ４ＤＫ148万円,148万円,北九州市八幡西区上上津役６丁目,fukuoka.txt
朝倉市 黒川 平屋建 ５ＤＫ150万円,150万円,N/A,fukuoka.txt
大牟田市 黄金町１丁目（大牟田駅） 2階建 ５ＤＫ150万円,150万円,N/A,fukuoka.txt
豊前市 大字大西（宇島駅） 平屋建 ４ＤＫ150万円,150万円,N/A,fukuoka.txt
大牟田市 新勝立町５丁目（大牟田駅） 2階建 ７ＤＫ180万円,180万円,N/A,fukuoka.txt
北九州市八幡西区 元城町（八幡駅） 平屋建 ４ＤＫ180万円,180万円,北九州市八幡西区元城町,fukuoka.txt
行橋市 大字道場寺（新田原駅） 平屋建 ３Ｋ180万円,180万円,N/A,fukuoka.txt
築上郡築上町 大字高塚（椎田駅） 平屋建 １０Ｋ198万円,198万円,N/A,fukuoka.txt
大牟田市 大字勝立（大牟田駅） 平屋建 ６Ｋ200万円,200万円,N/A,fukuoka.txt
北九州市八幡東区 末広町（スペースワールド駅） 平屋建 ４ＬＤＫ200万円,200万円,北九州市八幡東区末広町,fukuoka.txt
北九州市八幡東区 中尾３丁目 平屋建 ４ＬＤＫ200万円,200万円,北九州市八幡東区中尾３丁目,fukuoka.txt
田川郡添田町 大字添田（添田駅） 2階建 ４ＤＫ200万円,200万円,N/A,fukuoka.txt
田川郡福智町 赤池（赤池駅） 平屋建 ６Ｋ200万円,200万円,N/A,fukuoka.txt
豊前市 大字大河内 2階建 ７ＳＤＫ200万円,200万円,N/A,fukuoka.txt
うきは市 浮羽町新川 2階建 ６ＤＫ230万円,230万円,N/A,fukuoka.txt
直方市 大字頓野（感田駅） 2階建 ５ＤＫ230万円,230万円,N/A,fukuoka.txt
朝倉郡東峰村 大字福井 2階建 ６ＤＫ250万円,250万円,N/A,fukuoka.txt
大牟田市 大字今山（東甘木駅） 平屋建 ４ＬＤＫ250万円,250万円,N/A,fukuoka.txt
田川郡川崎町 大字川崎 平屋建 ６ＤＫ270万円,270万円,N/A,fukuoka.txt
大牟田市 八本町（新栄町駅） 平屋建 ４ＤＫ280万円,280万円,N/A,fukuoka.txt
鞍手郡小竹町 大字赤地（勝野駅） 平屋建 ３ＤＫ280万円,280万円,N/A,fukuoka.txt
田川郡川崎町 大字安眞木（添田駅） 平屋建 ４ＤＫ280万円,280万円,N/A,fukuoka.txt
田川郡川崎町 大字安眞木 平屋建 ４ＤＫ280万円,280万円,N/A,fukuoka.txt
京都郡みやこ町 節丸（東犀川三四郎駅） 2階建 ７ＤＫ280万円,280万円,N/A,fukuoka.txt
大牟田市 大字唐船（西鉄銀水駅） 平屋建 ７ＤＫ300万円,300万円,N/A,fukuoka.txt
